Filename;meta_class;width;height;ClassId;xmin;ymin;xmax;ymax
4f7cd3d5edcb44d8a2d2188f2191b9df.jpg;4;63;56;forb_stopping;0;0;63;56
8bfbb44ce2194c70a8469acdac17d429.jpg;4;147;148;forb_speed_over_40;0;0;147;148
cc500d2efcc84d6dbb50dc5b54306a1c.jpg;4;147;154;forb_overtake;0;0;147;154
82c5169659a742e38dd288e1c115bee7.jpg;4;155;166;forb_left;0;0;155;166
6979a9ccd15946ffafb95438b4deb28a.jpg;4;137;137;warn_speed_bumper;0;0;137;137
1dee47429c754696bc1598da4ece1712.jpg;4;77;166;forb_speed_over_60;0;0;77;166
5fb645a8965b4c6ba839ade1ce446ce4.jpg;4;242;252;forb_left;0;0;242;252
9bf5c32838984fdfb7f478af287e2924.jpg;4;56;69;mand_pass_left_right;0;0;56;69
1d944adea3e3424191f5e9f2840c9ac9.jpg;4;55;67;prio_stop;0;0;55;67
9ecec4b0eebb4e3aae823e461072b6a1.jpg;4;46;48;forb_right;0;0;46;48
85cba6ebbdf343f88d3a21ecc2981592.jpg;4;58;61;forb_trucks;0;0;58;61
69d23d9f4e7c43daa24e65b01ed45dac.jpg;4;42;37;warn_slippery_road;0;0;42;37
7808f5bc19e14f85b891808b71aeb4bf.jpg;4;47;64;warn_wild_animals;0;0;47;64
004de82dbef244eca73c22ddf14725ec.jpg;4;28;24;warn_crosswalk;0;0;28;24
397c15c10b4a45bdad646d7695db2212.jpg;4;112;129;forb_speed_over_50;0;0;112;129
45a23de545f0418589d66c14e4f89548.jpg;4;122;125;warn_construction;0;0;122;125
eb6504f6fa1b43aa9631e176123f6420.jpg;4;53;70;warn_tram;0;0;53;70
48849e943a0e4dbd8d0827592847221d.jpg;4;53;78;info_one_way_traffic;0;0;53;78
f05ccfa3bb6743bda2e9598896a6b1d1.jpg;4;56;80;info_crosswalk;0;0;56;80
d845288c68474e08b959b0afad496859.jpg;4;52;53;forb_right;0;0;52;53
12fc2559acf64c6a9b0d5dfbfa7ad1d8.jpg;4;57;54;prio_give_way;0;0;57;54
9ac6d431801240e7aad96a761848d2d7.jpg;4;52;54;mand_roundabout;0;0;52;54
5f4ad68d5d2a454bbd58677f90f97704.jpg;4;11;10;info_crosswalk;0;0;11;10
b2cf7e03769c4aa986a17fe6965bc967.jpg;4;62;85;warn_traffic_light;0;0;62;85
bf2423eceaa1495f98ac31a63b6eecd1.jpg;4;43;36;warn_roundabout;0;0;43;36
e19486e548b14953963f62b9de7dea3f.jpg;4;15;20;info_highway;0;0;15;20
271b19f7a3fa4271a246ec0ffbb94c29.jpg;4;214;216;info_one_way_traffic;0;0;214;216
297253d5742044ab9bb4f4ad7a9046f9.jpg;4;149;126;warn_children;0;0;149;126
c8d729bc5aa64c4d9f96b460e038aea8.jpg;4;134;123;forb_speed_over_30;0;0;134;123
9af607dc9fa243a2ae0df0e10fab81d5.jpg;4;42;42;forb_stopping;0;0;42;42
13b8d76c2beb4767ab1dcea9d993ebc5.jpg;4;31;61;info_bus_station;0;0;31;61
ed0969731f5746a8bd41b90a58cfd380.jpg;4;178;205;forb_speed_over_50;0;0;178;205
892a39cada5149669888f0bc6e26bcc3.jpg;4;177;202;warn_construction;0;0;177;202
9d88a7254f4f41ae9a784b6fbb1d2dca.jpg;4;47;50;warn_speed_bumper;0;0;47;50
73fdd0cfa44040d1b4b580aa68e2a0bc.jpg;4;39;65;forb_speed_over_70;0;0;39;65
59a925d7de044939958fff0aeb2025cd.jpg;4;69;129;forb_speed_over_30;0;0;69;129
d1aa225279e14c9c9015d43d1f7bb452.jpg;4;76;160;warn_construction;0;0;76;160
257eea6b08744e918517dc065dfc0584.jpg;4;69;58;prio_give_way;0;0;69;58
2973844d37cd4999ad5da08198aa88a8.jpg;4;37;43;mand_right;0;0;37;43
42ebe294605647ee9f68b1d2b070f489.jpg;4;158;81;prio_give_way;0;0;158;81
1f4d4d42aacf449696f4ca8f4bb21aee.jpg;4;39;76;mand_pass_left;0;0;39;76
3cab1324e78d4604b50d643104da837d.jpg;4;114;128;forb_speed_over_50;0;0;114;128
fe13353ec99f43cbb081899976dc12f1.jpg;4;55;58;warn_construction;0;0;55;58
be151290672442619f65cbcfa6488101.jpg;4;45;51;warn_construction;0;0;45;51
e13a818dfa59489db136af952e031911.jpg;4;43;53;forb_speed_over_60;0;0;43;53
999e8e87358942d4af10d53149c25521.jpg;4;71;72;warn_cyclists;0;0;71;72
7f8e7b4246f245d7b4edc59fa3b616a7.jpg;4;74;84;info_crosswalk;0;0;74;84
88d64aab78f04dbb8864c4e92214eb2e.jpg;4;16;27;info_one_way_traffic;0;0;16;27
9f9fcee1372344d79bbf3219a42e16a9.jpg;4;35;33;info_crosswalk;0;0;35;33
040b7c77df2a4e3d835033e58a49fcb3.jpg;4;30;30;forb_weight_over_7.5t;0;0;30;30
